Country,World Bank Income Group,Region,Koppen Climate Classification of Capital City,Usage,Corruption & Governance Index,Health Spend Index,Education Index,Infrastructure Index,GDP per head,Climate Index,META-DATA E.coli per cent resistance 3rd gen ceph*,META-DATA E.coli per cent resistance FQs*,Average Ecoli Resistance to 3GCeph & FQ unstandardized,Average All Resistance Unstandardized,Logit of META-DATA E.coli per cent resistance 3rd gen ceph*,Logit of META-DATA E.coli per cent resistance FQs*,Logit of Average Ecoli Resistance unstandardized,Logit of Average All Resistance Unstandardized,Missing Usage,Missing: Data Not in ECDC database,Missing META-DATA E.coli 3rd gen ceph*,Missing META-DATA E.coli FQs*,
Germany,High income,Europe & Central Asia,"Mild temperate, fully humid",7.1,1.47,1.41,0.65,0.77,1.00,-0.89,8.0,23.7,15.85,11.42,-2.44,-1.17,-1.67,-2.05,0,0,0,0,
Greece,High income,Europe & Central Asia,Mild temperate with dry summer,14.6,-0.21,0.39,0.56,0.61,0.01,-0.43,14.9,26.6,20.75,40.74,-1.74,-1.02,-1.34,-0.37,0,0,0,0,
Guatemala,Lower middle income,Latin America & Caribbean,Tropical monsoon,,-0.88,-0.95,-0.93,-0.59,-0.84,1.22,39.8,41.8,40.80,33.12,-0.41,-0.33,-0.37,-0.70,1,1,0,0,
Honduras,Lower middle income,Latin America & Caribbean,Tropical savannah with dry winter,,-0.90,0.22,-0.30,-0.43,-0.96,1.21,36.7,43.1,39.90,35.36,-0.55,-0.28,-0.41,-0.60,1,1,0,0,
Hongkong,High income,East Asia & Pacific,"Mild temperate, fully humid",7.5,1.34,-0.53,0.43,0.89,1.49,0.68,,23.4,23.40,23.40,,-1.19,-1.19,-1.19,0,1,1,0,
Hungary,High income,Europe & Central Asia,"Mild temperate, fully humid",7.3,0.32,0.32,0.66,0.63,0.05,-0.89,15.1,31.2,23.15,22.89,-1.73,-0.79,-1.20,-1.21,0,0,0,0,
Iceland,High income,Europe & Central Asia,Tundra,,1.64,0.90,0.64,1.05,0.94,-0.39,6.2,14.0,10.10,5.00,-2.72,-1.82,-2.19,-2.94,1,0,0,0,
India,Lower middle income,South Asia,Steppe (semi-arid),5.0,-0.66,-1.89,-1.27,-1.08,-0.91,0.51,51.4,52.3,51.88,56.17,0.06,0.09,0.08,0.25,0,1,0,0,
Indonesia,Lower middle income,East Asia & Pacific,Tropical rain forest,3.6,-0.63,-1.72,0.21,-0.66,-0.68,1.95,,72.0,72.00,66.13,,0.94,0.94,0.67,0,1,1,0,
Iran,Upper middle income,Middle East & North Africa,Steppe (semi-arid),,-0.97,-0.59,-0.22,0.20,-0.37,-0.63,41.0,54.0,47.50,47.20,-0.36,0.16,-0.10,-0.11,1,1,0,0,
Ireland,High income,Europe & Central Asia,"Mild temperate, fully humid",11.4,1.22,0.41,0.73,0.48,1.88,-0.50,9.0,22.9,15.95,13.69,-2.31,-1.21,-1.66,-1.84,0,0,0,0,
Israel,High income,Middle East & North Africa,"Mild temperate, fully humid",,0.07,0.30,0.64,0.83,0.41,-0.33,2.6,17.9,10.25,17.13,-3.62,-1.52,-2.17,-1.58,1,1,0,0,
Italy,High income,Europe & Central Asia,Mild temperate with dry summer,11.5,0.07,0.92,0.68,0.52,0.52,-0.43,19.8,40.5,30.15,36.25,-1.40,-0.38,-0.84,-0.56,0,0,0,0,
Japan,High income,East Asia & Pacific,Mild temperate with dry winter,5.3,1.31,1.25,0.72,0.98,0.70,0.07,16.6,34.3,25.45,19.88,-1.61,-0.65,-1.07,-1.39,0,1,0,0,
Jordan,Upper middle income,Middle East & North Africa,Steppe (semi-arid),6.3,-0.07,0.40,0.34,0.44,-0.69,-0.65,22.5,14.5,18.50,18.50,-1.24,-1.77,-1.48,-1.48,0,1,0,0,
Kazakistan,Upper middle income,Europe & Central Asia,"Snow, fully humid",7.5,-0.69,-0.66,0.74,0.17,-0.02,-1.40,,70.0,70.00,70.00,,0.85,0.85,0.85,0,1,1,0,
Kenya,Lower middle income,Sub-Saharan Africa,Tropical savannah with dry winter,,-1.19,-0.17,-0.62,-2.04,-1.06,0.23,87.2,91.4,89.28,52.87,1.92,2.36,2.12,0.11,1,1,0,0,
