"","Predictor","Response","Income Group","Model","Estimate","Q2.5","Q97.5","exp(Estimate)","exp(Q2.5)","exp(Q97.5)","Significant"
"48","High Antibiotic Use","ARG load","LMIC","+(1|bioproject)+log(readcount)",-0.181,-0.374,0.011,0.834,0.688,1.011,"ns"
"49","Infant","Shannon","HIC","Reference",-0.235,-0.289,-0.177,0.791,0.749,0.838,"*"
"50","Infant","Shannon","HIC","+(1|bioproject)",-0.131,-0.207,-0.055,0.877,0.813,0.947,"*"
"51","Infant","Shannon","HIC","+log(readcount)",-0.193,-0.249,-0.137,0.824,0.78,0.872,"*"
"52","Infant","Shannon","HIC","+(1|bioproject)+log(readcount)",-0.117,-0.19,-0.044,0.89,0.827,0.957,"*"
"53","Infant","Shannon","LMIC","Reference",-0.087,-0.425,0.25,0.917,0.654,1.284,"ns"
"54","Infant","Shannon","LMIC","+(1|bioproject)",0.233,-0.302,0.839,1.262,0.739,2.313,"ns"
"55","Infant","Shannon","LMIC","+log(readcount)",-0.159,-0.492,0.174,0.853,0.611,1.189,"ns"
"56","Infant","Shannon","LMIC","+(1|bioproject)+log(readcount)",0.261,-0.28,0.866,1.298,0.756,2.378,"ns"
"57","Infant","ARG load","HIC","Reference",0.09,0.006,0.176,1.095,1.006,1.192,"*"
"58","Infant","ARG load","HIC","+(1|bioproject)",0.174,0.059,0.291,1.191,1.06,1.337,"*"
"59","Infant","ARG load","HIC","+log(readcount)",0.108,0.022,0.192,1.114,1.022,1.212,"*"
"60","Infant","ARG load","HIC","+(1|bioproject)+log(readcount)",0.177,0.057,0.294,1.193,1.059,1.342,"*"
"61","Infant","ARG load","LMIC","Reference",0.473,-0.005,0.956,1.605,0.995,2.602,"ns"
"62","Infant","ARG load","LMIC","+(1|bioproject)",0.743,0.007,1.545,2.103,1.007,4.688,"*"
"63","Infant","ARG load","LMIC","+log(readcount)",0.581,0.073,1.08,1.788,1.076,2.943,"*"
"64","Infant","ARG load","LMIC","+(1|bioproject)+log(readcount)",0.807,0.094,1.569,2.241,1.098,4.803,"*"
"65","Toddler","Shannon","HIC","Reference",-0.014,-0.084,0.054,0.986,0.92,1.056,"ns"
"66","Toddler","Shannon","HIC","+(1|bioproject)",-0.011,-0.094,0.068,0.989,0.91,1.071,"ns"
"67","Toddler","Shannon","HIC","+log(readcount)",0.027,-0.044,0.096,1.027,0.957,1.101,"ns"
"68","Toddler","Shannon","HIC","+(1|bioproject)+log(readcount)",-0.011,-0.091,0.07,0.989,0.913,1.072,"ns"
"69","Toddler","Shannon","LMIC","Reference",-0.034,-0.302,0.231,0.967,0.739,1.259,"ns"
"70","Toddler","Shannon","LMIC","+(1|bioproject)",-0.053,-0.321,0.2,0.948,0.725,1.221,"ns"
"71","Toddler","Shannon","LMIC","+log(readcount)",-0.039,-0.3,0.221,0.962,0.741,1.247,"ns"
"72","Toddler","Shannon","LMIC","+(1|bioproject)+log(readcount)",-0.061,-0.318,0.196,0.941,0.728,1.216,"ns"
"73","Toddler","ARG load","HIC","Reference",-0.097,-0.2,0.006,0.908,0.819,1.006,"ns"
"74","Toddler","ARG load","HIC","+(1|bioproject)",0.086,-0.038,0.209,1.09,0.963,1.233,"ns"
"75","Toddler","ARG load","HIC","+log(readcount)",-0.078,-0.188,0.028,0.925,0.829,1.029,"ns"
"76","Toddler","ARG load","HIC","+(1|bioproject)+log(readcount)",0.086,-0.039,0.209,1.09,0.961,1.233,"ns"
"77","Toddler","ARG load","LMIC","Reference",0.248,-0.146,0.649,1.281,0.864,1.914,"ns"
"78","Toddler","ARG load","LMIC","+(1|bioproject)",0.268,-0.118,0.651,1.307,0.889,1.917,"ns"
"79","Toddler","ARG load","LMIC","+log(readcount)",0.249,-0.135,0.633,1.283,0.874,1.883,"ns"
"80","Toddler","ARG load","LMIC","+(1|bioproject)+log(readcount)",0.274,-0.113,0.667,1.315,0.894,1.948,"ns"
"81","Children","Shannon","HIC","Reference",-0.128,-0.169,-0.085,0.88,0.844,0.918,"*"
"82","Children","Shannon","HIC","+(1|bioproject)",-0.047,-0.099,0.007,0.954,0.906,1.007,"ns"
"83","Children","Shannon","HIC","+log(readcount)",-0.082,-0.125,-0.039,0.921,0.883,0.961,"*"
"84","Children","Shannon","HIC","+(1|bioproject)+log(readcount)",-0.019,-0.071,0.033,0.981,0.931,1.034,"ns"
"85","Children","Shannon","LMIC","Reference",-0.201,-0.372,-0.031,0.818,0.689,0.97,"*"
"86","Children","Shannon","LMIC","+(1|bioproject)",-0.187,-0.383,0.004,0.829,0.682,1.004,"ns"
"87","Children","Shannon","LMIC","+log(readcount)",-0.256,-0.432,-0.081,0.774,0.649,0.922,"*"
"88","Children","Shannon","LMIC","+(1|bioproject)+log(readcount)",-0.185,-0.377,0.008,0.831,0.686,1.008,"ns"
"89","Children","ARG load","HIC","Reference",-0.044,-0.105,0.02,0.957,0.9,1.02,"ns"
"90","Children","ARG load","HIC","+(1|bioproject)",0.073,-0.008,0.153,1.076,0.992,1.165,"ns"
"91","Children","ARG load","HIC","+log(readcount)",-0.023,-0.089,0.042,0.977,0.915,1.043,"ns"
"92","Children","ARG load","HIC","+(1|bioproject)+log(readcount)",0.078,-0.004,0.161,1.081,0.996,1.174,"ns"
"93","Children","ARG load","LMIC","Reference",0.239,-0.016,0.496,1.271,0.984,1.643,"ns"
"94","Children","ARG load","LMIC","+(1|bioproject)",0.257,-0.026,0.544,1.293,0.974,1.723,"ns"
"95","Children","ARG load","LMIC","+log(readcount)",0.323,0.066,0.579,1.381,1.068,1.784,"*"
"96","Children","ARG load","LMIC","+(1|bioproject)+log(readcount)",0.252,-0.046,0.538,1.287,0.955,1.713,"ns"
"97","Teenager","Shannon","HIC","Reference",-0.293,-0.34,-0.247,0.746,0.712,0.781,"*"
"98","Teenager","Shannon","HIC","+(1|bioproject)",-0.151,-0.203,-0.098,0.86,0.817,0.907,"*"
"99","Teenager","Shannon","HIC","+log(readcount)",-0.283,-0.33,-0.239,0.753,0.719,0.788,"*"
"100","Teenager","Shannon","HIC","+(1|bioproject)+log(readcount)",-0.133,-0.183,-0.083,0.876,0.833,0.921,"*"
"101","Teenager","Shannon","LMIC","Reference",-0.086,-0.19,0.019,0.917,0.827,1.019,"ns"
"102","Teenager","Shannon","LMIC","+(1|bioproject)",-0.086,-0.192,0.016,0.917,0.826,1.017,"ns"
"103","Teenager","Shannon","LMIC","+log(readcount)",-0.09,-0.192,0.014,0.914,0.825,1.014,"ns"
"104","Teenager","Shannon","LMIC","+(1|bioproject)+log(readcount)",-0.084,-0.189,0.016,0.919,0.828,1.016,"ns"
"105","Teenager","ARG load","HIC","Reference",-0.048,-0.117,0.022,0.953,0.889,1.022,"ns"
"106","Teenager","ARG load","HIC","+(1|bioproject)",-0.015,-0.094,0.065,0.985,0.91,1.067,"ns"
"107","Teenager","ARG load","HIC","+log(readcount)",-0.044,-0.115,0.027,0.957,0.892,1.028,"ns"
"108","Teenager","ARG load","HIC","+(1|bioproject)+log(readcount)",-0.012,-0.095,0.073,0.988,0.91,1.075,"ns"
"109","Teenager","ARG load","LMIC","Reference",-0.065,-0.223,0.091,0.937,0.8,1.095,"ns"
"110","Teenager","ARG load","LMIC","+(1|bioproject)",-0.068,-0.227,0.088,0.934,0.797,1.092,"ns"
"111","Teenager","ARG load","LMIC","+log(readcount)",-0.06,-0.218,0.091,0.942,0.804,1.096,"ns"
"112","Teenager","ARG load","LMIC","+(1|bioproject)+log(readcount)",-0.065,-0.219,0.089,0.937,0.803,1.094,"ns"
"113","Young Adult","Shannon","HIC","Reference",-0.011,-0.045,0.025,0.989,0.956,1.025,"ns"
"114","Young Adult","Shannon","HIC","+(1|bioproject)",-0.003,-0.04,0.032,0.997,0.961,1.033,"ns"
"115","Young Adult","Shannon","HIC","+log(readcount)",0.017,-0.018,0.052,1.017,0.982,1.053,"ns"
"116","Young Adult","Shannon","HIC","+(1|bioproject)+log(readcount)",-0.008,-0.044,0.028,0.992,0.957,1.028,"ns"
"117","Young Adult","Shannon","LMIC","Reference",-0.059,-0.148,0.031,0.943,0.863,1.032,"ns"
"118","Young Adult","Shannon","LMIC","+(1|bioproject)",-0.062,-0.153,0.029,0.94,0.858,1.03,"ns"
"119","Young Adult","Shannon","LMIC","+log(readcount)",-0.064,-0.15,0.025,0.938,0.861,1.025,"ns"
"120","Young Adult","Shannon","LMIC","+(1|bioproject)+log(readcount)",-0.064,-0.151,0.023,0.938,0.86,1.024,"ns"
"121","Young Adult","ARG load","HIC","Reference",0.033,-0.019,0.085,1.034,0.981,1.089,"ns"
"122","Young Adult","ARG load","HIC","+(1|bioproject)",0.113,0.058,0.17,1.12,1.06,1.185,"*"
"123","Young Adult","ARG load","HIC","+log(readcount)",0.045,-0.008,0.096,1.046,0.992,1.101,"ns"
"124","Young Adult","ARG load","HIC","+(1|bioproject)+log(readcount)",0.111,0.052,0.167,1.117,1.054,1.182,"*"
"125","Young Adult","ARG load","LMIC","Reference",0.103,-0.028,0.233,1.108,0.972,1.263,"ns"
"126","Young Adult","ARG load","LMIC","+(1|bioproject)",0.101,-0.031,0.238,1.107,0.97,1.268,"ns"
"127","Young Adult","ARG load","LMIC","+log(readcount)",0.108,-0.022,0.241,1.114,0.978,1.273,"ns"
"128","Young Adult","ARG load","LMIC","+(1|bioproject)+log(readcount)",0.109,-0.027,0.241,1.115,0.973,1.272,"ns"
"129","Older Adult","Shannon","HIC","Reference",0.172,0.12,0.226,1.188,1.127,1.254,"*"
"130","Older Adult","Shannon","HIC","+(1|bioproject)",0.085,0.031,0.14,1.089,1.031,1.15,"*"
"131","Older Adult","Shannon","HIC","+log(readcount)",0.146,0.092,0.199,1.157,1.097,1.221,"*"
"132","Older Adult","Shannon","HIC","+(1|bioproject)+log(readcount)",0.08,0.024,0.136,1.084,1.024,1.145,"*"
"133","Older Adult","Shannon","LMIC","Reference",0.134,0.005,0.26,1.143,1.005,1.297,"*"
"134","Older Adult","Shannon","LMIC","+(1|bioproject)",0.128,-0.001,0.262,1.136,0.999,1.299,"ns"
"135","Older Adult","Shannon","LMIC","+log(readcount)",0.141,0.012,0.268,1.151,1.012,1.307,"*"
"136","Older Adult","Shannon","LMIC","+(1|bioproject)+log(readcount)",0.141,0.016,0.265,1.151,1.016,1.303,"*"
"137","Older Adult","ARG load","HIC","Reference",0.104,0.026,0.184,1.11,1.027,1.202,"*"
"138","Older Adult","ARG load","HIC","+(1|bioproject)",-0.09,-0.176,-0.004,0.914,0.839,0.996,"*"
"139","Older Adult","ARG load","HIC","+log(readcount)",0.093,0.015,0.173,1.097,1.015,1.189,"*"
"140","Older Adult","ARG load","HIC","+(1|bioproject)+log(readcount)",-0.091,-0.179,-0.004,0.913,0.836,0.996,"*"
"141","Older Adult","ARG load","LMIC","Reference",0.019,-0.167,0.211,1.019,0.847,1.235,"ns"
"142","Older Adult","ARG load","LMIC","+(1|bioproject)",0.027,-0.167,0.222,1.028,0.846,1.249,"ns"
"143","Older Adult","ARG load","LMIC","+log(readcount)",0.001,-0.187,0.199,1.001,0.829,1.22,"ns"
"144","Older Adult","ARG load","LMIC","+(1|bioproject)+log(readcount)",0.009,-0.177,0.199,1.009,0.838,1.22,"ns"
"145","Oldest Adult","Shannon","HIC","Reference",0.363,0.262,0.463,1.438,1.299,1.589,"*"
"146","Oldest Adult","Shannon","HIC","+(1|bioproject)",0.269,0.161,0.373,1.308,1.175,1.452,"*"
"147","Oldest Adult","Shannon","HIC","+log(readcount)",0.305,0.202,0.408,1.356,1.224,1.503,"*"
"148","Oldest Adult","Shannon","HIC","+(1|bioproject)+log(readcount)",0.262,0.157,0.368,1.3,1.169,1.445,"*"
